"ID","RowType","Version","Scope","Category","Title","Priority","Risk","Capabilities / Test Data","Preconditions","Steps / Endpoint Chain","Expected Result","SpecReference","Notes","Status"
"TC-FARECONFIRM-POS-01","EndpointTestCase","Both","FARECONFIRM","POS","[FareConfirm][Request] Verify FareConfirm returns a re-priced selectedOffer for a valid same-call responseId + selectedOfferId pair.","High","High","V1 body uses searchResponseId; V2 body uses ResponseId (capital R) for the identical semantic value from Search's responseId; both also send selectedOfferId; V1 POST api/FlightSearch/FareConfirm, V2 POST api/v2/FlightSearch/FareConfirm","A prior Search call returned a responseId and at least one offerId from the same supplier/credentialsSelector pair","[Search] -> [FareConfirm] POST with the same-call responseId/offerId pair -> inspect selectedOffer","HTTP 200; selectedOffer present with offerId, priceDetails, refundability; V2 additionally carries haveBundles/canBeHeld/isAncillaryRequired/offerHasAncillary/isBaggageRequired/isMealRequired/isSeatMapRequired flags not present in V1's shape.","SPEC.md section 2.2","V2's six capability flags should be explicitly asserted even though the V2 collection's own script does not check them -- they are the pivot point for every downstream V2 branch.","Not Run"
"TC-FARECONFIRM-NEG-01","EndpointTestCase","Both","FARECONFIRM","NEG","[FareConfirm][Request] Validate FareConfirm rejects a responseId + selectedOfferId pair originating from two different Search calls.","High","Medium","Run Search twice (Search-A, Search-B) against the same supplier/credentialsSelector; build a FareConfirm request using Search-A's responseId with Search-B's offerId; both versions","Two independent Search responses available","[Search-A], [Search-B] -> [FareConfirm] POST mixing Search-A's responseId with Search-B's selectedOfferId -> observe response","Expected to 4xx or return a supplier-level 'offer no longer available'-style error; exact behavior UNKNOWN, confirm live -- high-value negative test per section 1.7.","SPEC.md section 2.2, section 7.7","This is the general mismatched-ID class named explicitly in section 2.2's Negative Cases.","Not Run"
"TC-FARECONFIRM-VAL-01","EndpointTestCase","Both","FARECONFIRM","VAL","[FareConfirm][Request] Validate V1's searchResponseId and V2's ResponseId field names are each accepted only under their own version's contract, not interchangeably.","Medium","Medium","Send a V1 FareConfirm body using ResponseId instead of searchResponseId; separately send a V2 FareConfirm body using searchResponseId instead of ResponseId","Valid Search output available for both versions","[FareConfirm] V1 POST with ResponseId substituted for searchResponseId -> observe; [FareConfirm] V2 POST with searchResponseId substituted for ResponseId -> observe","Both cross-version field-name substitutions are rejected or the field is ignored/treated as missing (exact behavior UNKNOWN, confirm live) -- this is a genuine contract difference, not a typo, and must not be treated as interchangeable.","SPEC.md section 2.2, section 7.1","This naming pattern recurs on V2's Upselling, GetOfferBundles, and AddPassenger calls too, all using ResponseId/PascalCase-leaning keys vs V1's camelCase.","Not Run"
"TC-FARECONFIRM-BIZ-02","EndpointTestCase","Both","FARECONFIRM","BIZ","[Search]&[FareConfirm] [Response] Verify capability flags (haveBundles/canBeHeld/offerHasAncillary/isSeatMapRequired) stay consistent between Search and FareConfirm for the same offer.","High","Medium","Same offerId carried from Search into FareConfirm; both versions","Search response includes the relevant capability flags for the selected offer","[Search] -> record flags on offers[selected] -> [FareConfirm] -> record the same flags on selectedOffer -> compare","Flags match between the two responses for the same offer; a flag flipping between steps is itself a defect worth reporting, not expected behavior.","SPEC.md section 2.1, section 2.2, section 6.2(d)","Live per-offer flags take precedence over the static section 4.2 supplier matrix when the two disagree -- this test is the mechanism that surfaces such disagreements.","Not Run"
"TC-FARECONFIRM-INT-01","EndpointTestCase","Both","FARECONFIRM","INT","[Search]&[FareConfirm] [Response] Verify Search's responseId and offers[0].offerId hand off correctly into FareConfirm's required fields.","High","Medium","Search response's responseId/offerId; both versions' field-name mapping (searchResponseId+selectedOfferId for V1, ResponseId+selectedOfferId for V2)","Valid Search response available","[Search] -> map responseId/offerId into FareConfirm's request fields per version -> [FareConfirm] POST -> confirm success","FareConfirm succeeds using only Search's own output, with no manual field substitution beyond the documented name mapping.","SPEC.md section 2.1, section 2.2, section 3.2, section 7.2","This is the baseline two-endpoint hand-off integration test that every flow in section 5 depends on.","Not Run"
"TC-FARECONFIRM-NEG-02","EndpointTestCase","Both","FARECONFIRM","NEG","[FareConfirm][Request] Validate FareConfirm behavior when confirming an offer whose underlying inventory sold out between Search and FareConfirm.","Medium","Medium","A Search result for a low-availability/high-demand route/date, re-confirmed after a deliberate short delay; both versions","Ability to reproduce or simulate a realistic sold-out race condition","[Search] -> wait -> [FareConfirm] on the same offer -> observe response","Expected to surface as a distinct 'offer unavailable'-style error rather than a generic 500; exact shape UNKNOWN, confirm live.","SPEC.md section 2.2 (Edge Cases)","Hard to force deterministically; treat as an opportunistic/exploratory test rather than a guaranteed-reproducible regression case.","Not Run"
"TC-BUNDLE-POS-01","EndpointTestCase","Both","BUNDLE","POS","[GetOfferBundles][Request] Verify GetOfferBundles returns bundleChoices for an offer with haveBundles=true.","High","Medium","V1 POST api/bundles/GetOfferBundles with fareConfirmResponseId+selectedOfferId; V2 POST api/V2/bundles/GetOfferBundles with ResponseId+selectedOfferId","Prior FareConfirm (or Upselling) call returned haveBundles=true for the selected offer","[FareConfirm] (haveBundles=true) -> [GetOfferBundles] POST -> inspect bundleChoices/offerJourneys","bundleChoices populated with bundleCode/bundleName/bundlePrices/includedServices per bundle; offerJourneys is a map keyed by segmentRefId, each with a bundleReferences array.","SPEC.md section 2.4","Requires haveBundles=true on the prior FareConfirm/Upselling offer, per section 2.4's dependency.","Not Run"
"TC-BUNDLE-NEG-01","EndpointTestCase","Both","BUNDLE","NEG","[GetOfferBundles][Request] Validate GetOfferBundles behavior when called for an offer with haveBundles=false.","Medium","Medium","FareConfirm output where haveBundles=false; both versions","Prior FareConfirm call returned haveBundles=false for the selected offer","[FareConfirm] (haveBundles=false) -> [GetOfferBundles] POST -> observe response","UNKNOWN exact result (empty bundleChoices vs explicit error) -- confirm live; a bundle-incapable offer should not silently return usable bundle data.","SPEC.md section 2.4","Valid negative/boundary test per section 2.4's Business Logic note.","Not Run"
"TC-BUNDLE-REG-01","EndpointTestCase","Both","BUNDLE","REG","[GetOfferBundles][Response] Verify the JourneyKey1 script variable (resp.offerJourneys.key) is undefined against the real offerJourneys shape, in both V1 and V2 collections.","Medium","Low","Any GetOfferBundles success response; both versions","GetOfferBundles returns a valid bundleChoices/offerJourneys response","[GetOfferBundles] POST -> evaluate resp.offerJourneys.key as the collection's own script does -> compare against the real keyed-by-segmentRefId shape","resp.offerJourneys.key evaluates to undefined since offerJourneys has no literal key property; JourneyKey1 does not appear to be consumed by any other request in either collection (likely a dead/inert variable), but the mismatch should still be reported as a script/response-shape defect.","SPEC.md section 2.4","Identically-worded bug in both V1 and V2 test scripts (var JourneyKey1 = resp.offerJourneys.key;) -- do not rely on JourneyKey1 for chaining in any flow test; thread fareConfirmResponseId/selectedOfferId through directly instead.","Not Run"
"TC-BUNDLE-VAL-02","EndpointTestCase","Both","BUNDLE","VAL","[GetOfferBundles][Response] Validate bundleChoices keys are a subset of the bundleReferences listed per journey in offerJourneys.","Medium","Low","GetOfferBundles success response with multiple bundles; both versions","GetOfferBundles returns a non-empty bundleChoices object","For each journey's bundleReferences entry, confirm a corresponding key exists in bundleChoices","Every bundleReferences code maps to a real bundleChoices entry; no orphaned references.","SPEC.md section 2.4 (Response Validation Rules)","","Not Run"
"TC-BUNDLE-VAL-03","EndpointTestCase","Both","BUNDLE","VAL","[GetOfferBundles][Response] Validate includedServices mixes machine-readable tags with free-text rule strings, and known tags remain a subset rather than an exact-match set.","Low","Low","GetOfferBundles success response; both versions","GetOfferBundles returns bundleChoices with includedServices populated","Inspect includedServices array per bundle; check that known tags (BAGGAGE, MEAL, SEAT_MAP, FLEXI_CHARGES) appear as a subset, alongside free-text descriptions","Assertion passes as long as known tags are present as a subset; the array is not asserted to equal a fixed set, since human-readable rule strings coexist in the same array.","SPEC.md section 2.4","Response-shape quirk explicitly called out in the spec -- do not write a brittle exact-match assertion here.","Not Run"
"TC-BOOK-POS-02","EndpointTestCase","Both","BOOK","POS","[Book][Request] Verify Book commits a confirmed offer to a live PNR and returns pnr/bookingToken/gdsPNR.","High","High","V1 POST api/FlightBooking/Book with Supplier (capital S), fareConfirmResponseId, selectedOfferId, passengersList, contactsList, selectedBundles; V2 POST api/v2/FlightBooking/Book with ResponseId, selectedOfferId, PassengersSelectedAncillaries (no passengersList)","Non-production environment, OR explicit documented production-Book authorization obtained; valid FareConfirm (V1) / AddPassenger (V2) era IDs","[FareConfirm]/[AddPassenger] -> [Book] POST -> inspect response","HTTP 200; pnr, bookingToken, gdsPNR non-empty; voidCapability present; passengersList is echoed in the RESPONSE for V2 even though absent from the V2 request (server resolves it from AddPassenger).","SPEC.md section 2.9","V1's request field is capital-S Supplier, inconsistent with every other V1 field's lowercase supplier -- note in test evidence, do not silently 'correct' it.","Not Run"
"TC-BOOK-NEG-04","EndpointTestCase","Both","BOOK","NEG","[Book][Request] Validate behavior when booking twice with the same offer reference (double-booking attempt).","High","High","Same fareConfirmResponseId/ResponseId + selectedOfferId reused across two Book calls; both versions","A single valid FareConfirm/AddPassenger-era ID pair","[Book] POST -> [Book] POST again with the identical offer reference -> observe both responses","UNKNOWN whether the second call is idempotently rejected or produces a second PNR -- confirm live; high-value negative test.","SPEC.md section 2.9 (Negative Cases)","","Not Run"
"TC-BOOK-BIZ-03","EndpointTestCase","Both","BOOK","BIZ","[Book][Response] Verify the price-reconciliation formula holds on Book's response.","High","High","Book success response with a full passengerFareBreakdown; both versions","Book returns a priced selectedOffer","Apply the section 2.1 reconciliation formula to Book's selectedOffer.priceDetails and passengerFareBreakdown","All reconciliation checks hold.","SPEC.md section 2.9, section 1.10 item 4","Enforced by script in V1 Book; absent from V2 Book's script -- manual testing must supply this check for V2.","Not Run"
"TC-BOOK-SEC-01","EndpointTestCase","Both","BOOK","SEC","[Book][Request] Verify a Book call against a commercially blacklisted supplier/airline is blocked at the business layer.","Critical","High","Blacklisted suppliers per section 4.3, e.g. FlyDubai, AirArabia (E5/G9/3L/3O), SereneAir, AirIndia, Indigo, AirBlue, Jazeera, FlyNas, AirCairo, FlyAdeal, SpiceJet, SalamAir, FlyJinnah; GLC is conditional not outright blocked; both versions","Search/FareConfirm succeed technically for the chosen blacklisted supplier","[Search] -> [FareConfirm] -> [Book] POST against the blacklisted supplier -> observe whether the booking-affecting action is blocked","Blocked/rejected at the business layer even though technically reachable through Search/FareConfirm; exact rejection mechanism UNKNOWN, confirm live. GLC specifically requires 'inform us first before issuing any ticket' rather than an outright block -- do not treat it identically to the outright-blacklisted suppliers.","SPEC.md section 1.8, section 4.3, section 7.10","Distinguishes technical capability (section 4.2) from commercial authorization (section 4.3) -- a supplier can pass Search/FareConfirm while being blocked here.","Not Run"
"TC-BOOK-BIZ-04","EndpointTestCase","Both","BOOK","BIZ","[Book] Verify the production-booking auto-skip discipline is enforced as a manual process control before any Book/BookAfterHold execution against a production base URL.","High","High","Checklist item, not a payload-driven test; applies to both V1 and V2 Book/BookAfterHold","N/A -- process/checklist control","Before executing Book or BookAfterHold: (1) confirm environment classification (STAG vs PROD baseUrl); (2) if PROD, confirm explicit documented authorization exists; (3) proceed only if both are satisfied","No Book/BookAfterHold execution proceeds against a PROD baseUrl without explicit, documented authorization, regardless of Supplier_Name/Credentials_Selector configured.","SPEC.md section 2.9 (Testing Notes), section 7.10","This is a manual/process control, not automatable in Postman -- Postman has no environment guard equivalent to the adjacent automation framework's shouldSkipBookingInProduction; enforce via team checklist/review, not tooling.","Not Run"
"TC-BOOK-NEG-05","EndpointTestCase","Both","BOOK","NEG","[Book][Request] Validate Book rejects a selectedOfferId that does not match the fareConfirmResponseId/ResponseId supplied in the same request.","Medium","Medium","Mismatched selectedOfferId from a different FareConfirm response than the fareConfirmResponseId/ResponseId sent; both versions","Two independent FareConfirm responses for the same supplier","[FareConfirm-A], [FareConfirm-B] -> [Book] POST mixing FareConfirm-A's responseId with FareConfirm-B's selectedOfferId -> observe response","Rejected; exact error shape UNKNOWN, confirm live.","SPEC.md section 2.9 (Negative Cases)","","Not Run"
"TC-BOOK-VAL-02","EndpointTestCase","Both","BOOK","VAL","[Book][Request] Validate V1 Book's capital-S Supplier field is accepted consistently despite every other V1 field using lowercase supplier.","Low","Low","V1 Book body with Supplier vs a deliberately lowercased supplier variant sent in its place; V1 only, but recorded here as the shared Book endpoint's field-naming concern","Valid V1 Book payload otherwise","[Book] V1 POST with Supplier (capital S) as documented -> observe; repeat with lowercase supplier substituted -> observe","Confirm live whether field-name matching is case-insensitive; if inconsistent handling is found, flag as a copy-paste artifact worth fixing in the collection.","SPEC.md section 2.9","V2's equivalent field is lowercase supplier consistently -- this is a V1-only naming inconsistency, not a V1/V2 contract difference, hence still in scope for this Both-version pass as a shared-endpoint concern.","Not Run"
"TC-HOLD-POS-01","EndpointTestCase","Both","HOLD","POS","[Hold][Request] Verify Hold reserves an offer without immediate ticketing and returns pnr/bookingToken/gdsPNR plus holdExpirationDate.","High","High","V1/V2 POST .../Hold; supplier confirmed canBeHeld=true via section 4.7 procedure; V2 note: saved example's credentialsSelector placeholder references {{credentialsSelector}} not {{Credentials_Selector}} -- must be corrected locally before running","Supplier confirmed canBeHeld=true for the selected offer","[FareConfirm]/[AddPassenger] -> [Hold] POST -> inspect response","HTTP 200; pnr, bookingToken, gdsPNR non-empty; holdExpirationDate present and in the future.","SPEC.md section 2.10","V2's saved Hold request has a credentialsSelector casing/variable-reference defect ({{credentialsSelector}} vs the environment's actual {{Credentials_Selector}}) -- flag as a collection bug if reproduced, do not silently work around it without recording it.","Not Run"
"TC-HOLD-NEG-02","EndpointTestCase","Both","HOLD","NEG","[Hold][Request] Validate Hold is rejected for a supplier/offer with canBeHeld=false (e.g. FlyNas, GLC).","High","Medium","FlyNas or GLC (both sources agree canBeHeld=false for these two); both versions","FareConfirm/Search confirms canBeHeld=false for the chosen offer","[FareConfirm] (canBeHeld=false) -> [Hold] POST -> observe response","Expected to fail; exact rejection shape UNKNOWN, confirm live. Per section 4.4, AirCairo/EgyptAir/Galileo/SpiceJet/GLC's Hold capability is disputed across sources -- trust the live canBeHeld flag over either static document when selecting suppliers for this case.","SPEC.md section 2.10, section 4.2, section 4.4","FlyNas and GLC are the two suppliers with the least ambiguous canBeHeld=false signal; use them here rather than the five disputed suppliers, which get their own dedicated CAPCHECK rows.","Not Run"
"TC-HOLD-BIZ-01","EndpointTestCase","Both","HOLD","BIZ","[Hold][Response] Verify the price-reconciliation formula holds on Hold's response in both V1 and V2.","High","High","Hold success response with a full passengerFareBreakdown; both versions","Hold returns a priced offer","Apply the section 2.1 reconciliation formula to Hold's response","All reconciliation checks hold in both versions.","SPEC.md section 2.10, section 1.10 item 4","Hold is one of only two V2 booking-family endpoints (with FareConfirmAfterHold/BookAfterHold) that retained the price-check script, unlike V2's Book/Retrieve -- no coverage-gap caveat needed here, unlike TC-BOOK-BIZ-01.","Not Run"
"TC-HOLD-BND-01","EndpointTestCase","Both","HOLD","BND","[Hold]&[FareConfirmAfterHold]&[BookAfterHold]&[CancelAfterHold] [Response] Verify behavior when FareConfirmAfterHold, BookAfterHold, or CancelAfterHold is attempted after the booking's holdExpirationDate has passed.","High","High","A Held booking deliberately left past its holdExpirationDate before the next call; both versions","A Hold response with a known holdExpirationDate; ability to wait or otherwise reach a time past that timestamp","[Hold] -> wait past holdExpirationDate -> [FareConfirmAfterHold] POST -> observe; repeat scenario independently for [BookAfterHold] and [CancelAfterHold]","UNKNOWN exact behavior for each of the three calls -- confirm live whether rejected outright or accepted with a price/availability re-check; applies identically in both versions and is not covered by any flow.md-listed flow number.","SPEC.md section 2.10, section 2.12, section 6.5","Timing-sensitive, hard to force deterministically on a schedule -- treat as an opportunistic/exploratory test rather than a routine regression case.","Not Run"
"TC-RETRIEVE-POS-01","EndpointTestCase","Both","RETRIEVE","POS","[Retrieve][Response] Verify bookingStatus reflects the correct lifecycle stage (Held after Hold, Booked after Book/BookAfterHold).","High","High","V1 POST api/FlightBooking/RetrieveBooking, V2 POST api/v2/FlightBooking/Retrieve; pnr/bookingToken/gdsPnr(gdsPNR) from a prior Hold or Book/BookAfterHold call","A completed Hold or Book/BookAfterHold call with known pnr/bookingToken/gdsPNR","[Hold] or [Book] -> [Retrieve] POST with pnr/gdsPnr/bookingToken -> inspect bookingStatus","bookingStatus matches the expected lifecycle stage for the preceding action (record the actual observed string value as the regression baseline, since the full enumeration is UNKNOWN).","SPEC.md section 2.11","Retrieve's gdsPnr field casing differs from gdsPNR used elsewhere -- INFERRED cosmetic/case-insensitive, but note for exact-match request-shape tests.","Not Run"
"TC-RETRIEVE-REG-01","EndpointTestCase","Both","RETRIEVE","REG","[Retrieve] Verify V2 Retrieve has zero test-script assertions, the largest single V1/V2 coverage gap of any endpoint.","High","High","Compare V1 vs V2 Retrieve test scripts directly in the collections; run both against equivalent bookings","A completed booking retrievable in both a V1 and a V2 flow","Inspect V1 Retrieve's script (price-reconciliation present) vs V2 Retrieve's script (no variable refs, no assertion titles) -> run both live and manually supply the missing checks for V2","Manual testing independently supplies the price-reconciliation and bookingStatus checks for V2 Retrieve, since V2's script provides none of what V1's does automatically.","SPEC.md section 2.11, section 7.13","This is a coverage gap, not a functional defect of the endpoint itself -- do not rely on 'the collection will catch it' for V2 Retrieve.","Not Run"
"TC-RETRIEVE-VAL-01","EndpointTestCase","Both","RETRIEVE","VAL","[Retrieve][Response] Validate bookingStatus is one of the currently-known set, or flagged as a newly-observed value rather than hard-failed.","High","Medium","Retrieve responses across as many distinct lifecycle stages as can be reached (Held, Booked, Voided, Cancelled); both versions","Bookings in multiple distinct lifecycle stages available to retrieve","[Retrieve] POST for a booking at each reachable lifecycle stage -> record the exact bookingStatus string observed each time","No full enumeration exists yet (UNKNOWN per section 8.3) -- this is a first-round exploratory priority; every distinct value observed must be recorded and fed back into SPEC.md's living-document update process rather than hard-failing on an unrecognized value.","SPEC.md section 2.11, section 7.11, section 8.3","","Not Run"
"TC-RETRIEVE-INT-01","EndpointTestCase","Both","RETRIEVE","INT","[Hold]&[Retrieve] [Response] Verify Retrieve immediately after Hold vs. after holdExpirationDate has passed returns the expected bookingStatus transition.","Medium","Medium","A Held booking retrieved once promptly and once after its holdExpirationDate has passed; both versions","A Hold response with a known holdExpirationDate","[Hold] -> [Retrieve] immediately -> record bookingStatus; [Hold] -> wait past holdExpirationDate -> [Retrieve] again -> record bookingStatus -> compare","Expected transition on expiry is UNKNOWN -- high-value exploratory test; record whatever is actually observed as the new baseline.","SPEC.md section 2.11 (Edge Cases), section 6.5","","Not Run"
"TC-FCAH-BIZ-01","EndpointTestCase","Both","FCAH","BIZ","[FareConfirmAfterHold][Response] Verify whether the reported price differs from the original Hold price after a hold-window delay (price-drift exploratory check).","Medium","Medium","V1/V2 POST .../PnrReprice with pnr/gdsPNR/bookingToken/surName from a prior Hold; a deliberate delay between Hold and FareConfirmAfterHold","A Held booking with a known original price","[Hold] -> record priceDetails.totalAmount -> wait -> [FareConfirmAfterHold] POST -> compare reported price against the original Hold price","In the common case, price should match with no drift; a mismatch is the price-drift scenario itself, not necessarily a bug -- report either outcome with the observed delta.","SPEC.md section 2.12","Requires a live environment where fares can plausibly move -- mark as an opportunistic/exploratory test rather than a deterministic regression case.","Not Run"
"TC-FCAH-NEG-01","EndpointTestCase","Both","FCAH","NEG","[FareConfirmAfterHold][Request] Validate FareConfirmAfterHold behavior when called after the hold's holdExpirationDate has passed.","High","Medium","A Held booking deliberately left past its holdExpirationDate; both versions","Hold response with a known holdExpirationDate","[Hold] -> wait past holdExpirationDate -> [FareConfirmAfterHold] POST -> observe response","UNKNOWN -- expected to fail or return a price/availability change requiring re-acceptance; confirm live and record.","SPEC.md section 2.12 (Common Errors)","High-value exploratory/negative test per section 2.12's own Testing Notes.","Not Run"
